STT, PO boxing, Lot boxing, Barcode, Line, Model, Time test FU, Time boxing, PIC boxing, Status Lot, Qty_PO
1,20230306_Day_Cell Module_6,VPM23030606BA6054,230216V009040P,6,Cell Module,2023-03-06 10:14:04,3/6/2023 2:31:15 PM,1,Open,541
2,20230306_Day_Cell Module_6,VPM23030606BA6054,230216V009050P,6,Cell Module,2023-03-06 10:13:15,3/6/2023 2:31:25 PM,1,Open,541
3,20230306_Day_Cell Module_6,VPM23030606BA6054,230216V009070P,6,Cell Module,2023-03-06 10:02:09,3/6/2023 2:45:00 PM,1,Open,541
4,20230306_Day_Cell Module_6,VPM23030606BA6054,230216V009080P,6,Cell Module,2023-03-06 10:01:19,3/6/2023 2:45:08 PM,1,Open,541
5,20230306_Day_Cell Module_6,VPM23030606BA6054,230321V007300P,6,Cell Module,2023-03-06 10:00:23,3/6/2023 3:07:01 PM,1,Open,541
6,20230306_Day_Cell Module_6,VPM23030606BA6054,230321V007290P,6,Cell Module,2023-03-06 09:59:35,3/6/2023 3:07:11 PM,1,Open,541
7,20230306_Day_Cell Module_6,VPM23030606BA6054,230321V007260P,6,Cell Module,2023-03-06 09:56:59,3/6/2023 3:08:00 PM,1,Open,541
8,20230306_Day_Cell Module_6,VPM23030606BA6054,230321V007240P,6,Cell Module,2023-03-06 09:53:36,3/6/2023 3:09:39 PM,1,Open,541
9,20230306_Day_Cell Module_6,VPM23030606BA6054,230321V007250P,6,Cell Module,2023-03-06 09:57:48,3/6/2023 3:09:42 PM,1,Open,541
10,20230306_Day_Cell Module_6,VPM23030606BA6054,230321V007220P,6,Cell Module,2023-03-06 09:55:14,3/6/2023 3:16:18 PM,1,Open,541
11,20230306_Day_Cell Module_6,VPM23030606BA6054,230321V007230P,6,Cell Module,2023-03-06 09:54:25,3/6/2023 3:16:21 PM,1,Open,541
