STT, PO boxing, Lot boxing, Barcode, Line, Model, Time test FU, Time boxing, PIC boxing, Status Lot, Qty_PO
1,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004880R,6,Composite Main,2023-02-24 05:49:06,2/24/2023 9:51:08 AM,1,Close,399
2,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004970R,6,Composite Main,2023-02-24 05:41:35,2/24/2023 9:52:38 AM,1,Close,399
3,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004890R,6,Composite Main,2023-02-24 05:37:54,2/24/2023 9:53:41 AM,1,Close,399
4,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004960R,6,Composite Main,2023-02-24 05:56:38,2/24/2023 9:55:11 AM,1,Close,399
5,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004870R,6,Composite Main,2023-02-24 05:45:24,2/24/2023 9:56:01 AM,1,Close,399
6,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004800R,6,Composite Main,2023-02-24 05:52:56,2/24/2023 9:56:45 AM,1,Close,399
7,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004980R,6,Composite Main,2023-02-24 05:34:03,2/24/2023 9:57:29 AM,1,Close,399
8,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004990R,6,Composite Main,2023-02-24 05:22:49,2/24/2023 9:57:31 AM,1,Close,399
9,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004900R,6,Composite Main,2023-02-24 05:30:21,2/24/2023 9:57:33 AM,1,Close,399
10,20230224_Day_Composite Main_6,VPM23022406BA7013,230309V000060R,6,Composite Main,2023-02-24 04:56:21,2/24/2023 9:57:51 AM,1,Close,399
11,20230224_Day_Composite Main_6,VPM23022406BA7013,230309V000050R,6,Composite Main,2023-02-24 04:52:39,2/24/2023 9:57:52 AM,1,Close,399
12,20230224_Day_Composite Main_6,VPM23022406BA7013,230309V000040R,6,Composite Main,2023-02-24 05:03:54,2/24/2023 9:57:54 AM,1,Close,399
13,20230224_Day_Composite Main_6,VPM23022406BA7013,230309V000120R,6,Composite Main,2023-02-24 05:07:45,2/24/2023 9:58:13 AM,1,Close,399
14,20230224_Day_Composite Main_6,VPM23022406BA7013,230309V000130R,6,Composite Main,2023-02-24 05:00:12,2/24/2023 9:58:15 AM,1,Close,399
15,20230224_Day_Composite Main_6,VPM23022406BA7013,230309V000030R,6,Composite Main,2023-02-24 05:11:27,2/24/2023 9:58:17 AM,1,Close,399
16,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004530R,6,Composite Main,2023-02-24 07:23:34,2/24/2023 9:58:36 AM,1,Close,399
17,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004520R,6,Composite Main,2023-02-24 07:27:16,2/24/2023 9:58:45 AM,1,Close,399
18,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004510R,6,Composite Main,2023-02-24 07:16:02,2/24/2023 9:59:43 AM,1,Close,399
19,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004820R,6,Composite Main,2023-02-24 07:08:28,2/24/2023 10:00:08 AM,1,Close,399
20,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004670R,6,Composite Main,2023-02-24 07:19:44,2/24/2023 10:00:09 AM,1,Close,399
21,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V005000R,6,Composite Main,2023-02-24 05:26:31,2/24/2023 10:00:28 AM,1,Close,399
22,20230224_Day_Composite Main_6,VPM23022406BA7013,230309V000020R,6,Composite Main,2023-02-24 05:18:58,2/24/2023 10:00:30 AM,1,Close,399
23,20230224_Day_Composite Main_6,VPM23022406BA7013,230309V000110R,6,Composite Main,2023-02-24 05:15:17,2/24/2023 10:00:32 AM,1,Close,399
24,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004940R,6,Composite Main,2023-02-24 06:19:14,2/24/2023 10:00:51 AM,1,Close,399
25,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004860R,6,Composite Main,2023-02-24 06:07:59,2/24/2023 10:00:53 AM,1,Close,399
26,20230224_Day_Composite Main_6,VPM23022406BA7013,230227V004770R,6,Composite Main,2023-02-24 06:15:33,2/24/2023 10:00:55 AM,1,Close,399
27,20230224_Day_Composite Main_6,VPM23022406BA7012,230227V004940R,6,Composite Main,2023-02-24 06:19:14,2/24/2023 10:03:17 AM,1,Close,399
28,20230224_Day_Composite Main_6,VPM23022406BA7012,230227V004860R,6,Composite Main,2023-02-24 06:07:59,2/24/2023 10:03:19 AM,1,Close,399
29,20230224_Day_Composite Main_6,VPM23022406BA7012,230227V004770R,6,Composite Main,2023-02-24 06:15:33,2/24/2023 10:03:21 AM,1,Close,399
30,20230224_Day_Composite Main_6,VPM23022406BA7012,230227V005000R,6,Composite Main,2023-02-24 05:26:31,2/24/2023 10:03:41 AM,1,Close,399
31,20230224_Day_Composite Main_6,VPM23022406BA7012,230309V000020R,6,Composite Main,2023-02-24 05:18:58,2/24/2023 10:03:43 AM,1,Close,399
32,20230224_Day_Composite Main_6,VPM23022406BA7012,230309V000110R,6,Composite Main,2023-02-24 05:15:17,2/24/2023 10:03:44 AM,1,Close,399
33,20230224_Day_Composite Main_6,VPM23022406BA7012,230227V004830R,6,Composite Main,2023-02-24 07:12:11,2/24/2023 10:04:04 AM,1,Close,399
34,20230224_Day_Composite Main_6,VPM23022406BA7012,230227V004820R,6,Composite Main,2023-02-24 07:08:28,2/24/2023 10:04:06 AM,1,Close,399
35,20230224_Day_Composite Main_6,VPM23022406BA7012,230227V004670R,6,Composite Main,2023-02-24 07:19:44,2/24/2023 10:04:08 AM,1,Close,399
36,20230224_Day_Composite Main_6,VPM23022406BA7012,230227V004530R,6,Composite Main,2023-02-24 07:23:34,2/24/2023 10:04:28 AM,1,Close,399
37,20230224_Day_Composite Main_6,VPM23022406BA7012,230227V004520R,6,Composite Main,2023-02-24 07:27:16,2/24/2023 10:04:34 AM,1,Close,399
